scenario,planning_horizon,technology,parameter,value,unit,source,further description
all,all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
